Price,CarBrand,CarModel,MfgDate,Mileage,Condition,GearBox,Fuel,CarOrigin,CarType,CarSeats,WarrantyPolicy
940.000.000 đ ,Vinfast,VF8,2023,,Mới,Tự động,Điện,Việt Nam,SUV / Cross over,5,Bảo hành hãng
999.000.000 đ ,Hyundai,Santa Fe,2021,20000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,7,Bảo hành hãng
1.058.000.000 đ ,Hyundai,Santa Fe,2021,24000,Đã sử dụng,Tự động,Dầu,Đang cập nhật,SUV / Cross over,7,Bảo hành hãng
460.000.000 đ ,Mazda,3,2018,44658,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
415.000.000 đ ,Lexus,GS,2007,135000,Đã sử dụng,Tự động,Xăng,Mỹ,Sedan,4,Bảo hành hãng
430.000.000 đ ,Mitsubishi,Xpander,2019,70000,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,Minivan (MPV),5,Bảo hành hãng
999.000.000 đ ,Toyota,Fortuner,2022,37000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,9,Bảo hành hãng
195.000.000 đ ,Mercedes Benz,Sprinter,2007,555555,Đã sử dụng,Số sàn,Dầu,Đang cập nhật,Van,7,Bảo hành hãng
838.000.000 đ ,Ford,Everest,2018,60000,Đã sử dụng,Tự động,Xăng,Thái Lan,,5,Bảo hành hãng
535.000.000 đ ,Ford,Transit,2017,200000,Đã sử dụng,Số sàn,Dầu,Việt Nam,SUV / Cross over,16,Bảo hành hãng
215.000.000 đ ,Hyundai,Grand i10,2017,123456,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
175.000.000 đ ,Hyundai,Creta,2023,1,Đã sử dụng,Bán tự động,Xăng,Đang cập nhật,,,Bảo hành hãng
849.000.000 đ ,Ford,Transit,2023,,Mới,Số sàn,Dầu,Việt Nam,Kiểu dáng khác,16,Bảo hành hãng
305.000.000 đ ,Honda,Civic,2011,70000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
210.000.000 đ ,Isuzu,Pick up,2010,170640,Đã sử dụng,Số sàn,Dầu,Việt Nam,Pick-up (bán tải),5,Bảo hành hãng
1.150.000.000 đ ,Mercedes Benz,C Class,2020,28000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
170.000.000 đ ,Ford,Territory,2023,,Mới,Tự động,Xăng,Việt Nam,,5,Bảo hành hãng
960.000.000 đ ,Mazda,CX 8,2022,31000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,9,Bảo hành hãng
640.000.000 đ ,Vinfast,Lux A2.0,2022,21000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,2,Bảo hành hãng
680.000.000 đ ,Mitsubishi,Outlander,2020,80000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,SUV / Cross over,7,Bảo hành hãng
585.000.000 đ ,Ford,Transit,2019,63000,Đã sử dụng,Số sàn,Dầu,Việt Nam,Van,7,Bảo hành hãng
986.000.000 đ ,Ford,Ranger,2023,,Mới,Tự động,Dầu,Việt Nam,,5,Bảo hành hãng
3.000.000.000 đ ,Honda,CR V,2010,10000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,SUV / Cross over,5,Bảo hành hãng
475.000.000 đ ,Toyota,Innova,2018,92000,Đã sử dụng,Số sàn,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng
755.000.000 đ ,Peugeot,3008,2021,510000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,SUV / Cross over,5,Bảo hành hãng
860.000.000 đ ,Toyota,Corolla Cross,2022,,Đã sử dụng,Tự động,Xăng,Thái Lan,SUV / Cross over,5,Bảo hành hãng
500.000.000 đ ,Honda,City,2023,1100,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
420.000.000 đ ,Mazda,6,2015,75000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Sedan,5,Bảo hành hãng
298.000.000 đ ,Toyota,Camry,2007,93000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
255.000.000 đ ,Toyota,Yaris,2008,80000,Đã sử dụng,Tự động,Xăng,Nhật Bản,Sedan,5,Bảo hành hãng
365.000.000 đ ,Toyota,Vios,2020,74000,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
1.068.000.000 đ ,BMW,Dòng khác,2012,56000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,Bảo hành hãng
265.000.000 đ ,Toyota,Innova,2008,130000,Đã sử dụng,Số sàn,Xăng,Việt Nam,Minivan (MPV),8,Bảo hành hãng
289.898.989 đ ,Mitsubishi,Pajero,1998,450000,Đã sử dụng,Số sàn,Xăng,Nhật Bản,SUV / Cross over,7,Bảo hành hãng
33.000.000 đ ,Daewoo,Lanos,2003,12000,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,,,Bảo hành hãng
678.000.000 đ ,Toyota,Yaris,2023,,Mới,Tự động,Xăng,Nước khác,SUV / Cross over,5,Bảo hành hãng
770.000.000 đ ,Ford,Ranger,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng
620.000.000 đ ,Mitsubishi,Xpander,2022,37000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Minivan (MPV),9,Bảo hành hãng
585.000.000 đ ,Kia,Sedona,2016,103000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,Minivan (MPV),7,Bảo hành hãng
435.000.000 đ ,Mazda,BT 50,2021,56000,Đã sử dụng,Số sàn,Dầu,Thái Lan,SUV / Cross over,5,Bảo hành hãng
198.000.000 đ ,Toyota,Hiace,trước năm 1980,123456,Đã sử dụng,Số sàn,Dầu,Việt Nam,Van,6,Bảo hành hãng
1.098.000.000 đ ,Toyota,Fortuner,2022,10000,Đã sử dụng,Tự động,Dầu,Việt Nam,SUV / Cross over,9,Bảo hành hãng
799.000.000 đ ,Ford,Transit,2022,,Mới,Số sàn,Dầu,Việt Nam,Kiểu dáng khác,16,Bảo hành hãng
620.000.000 đ ,Mazda,CX 5,2020,40000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng
365.000.000 đ ,Ford,Ranger,2017,180000,Đã sử dụng,Số sàn,Dầu,Đang cập nhật,Pick-up (bán tải),5,Bảo hành hãng
1.230.000.000 đ ,Kia,Pregio,2022,2000,Đã sử dụng,Tự động,Dầu,Việt Nam,,8,Bảo hành hãng
468.000.000 đ ,Toyota,Celica,2000,80000,Đã sử dụng,Tự động,Xăng,Nhật Bản,Coupe (2 cửa),4,Bảo hành hãng
159.000.000 đ ,Daewoo,Lacetti,2010,160000,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,Sedan,5,Bảo hành hãng
