Price,CarBrand,CarModel,MfgDate,Mileage,Condition,GearBox,Fuel,CarOrigin,CarType,CarSeats
740000000.0,Toyota,Fortuner,2017.0,94000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,SUV,7.0
379000000.0,Kia,Cerato Koup,2010.0,100000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,Coupe,5.0
1499000000.0,Volkswagen,Tiguan,2022.0,0.0,Mới,Tự động,Xăng,Nước khác,SUV,7.0
600000000.0,Mercedes Benz,CLS Class,2010.0,100000.0,Đã sử dụng,Tự động,Xăng,Đức,Sedan,5.0
406000000.0,Hyundai,Accent,2023.0,0.0,Mới,Số sàn,Xăng,Nước khác,Sedan,5.0
298000000.0,Hyundai,Santa Fe,2007.0,144000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,SUV,7.0
415000000.0,Toyota,Vios,2022.0,20000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5.0
799000000.0,Toyota,Camry,2019.0,45000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
560000000.0,Toyota,Corolla Altis,2019.0,69000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
875000000.0,Honda,CR V,2021.0,43000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,7.0
310000000.0,Hyundai,Grand i10,2019.0,78000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
469000000.0,Mazda,2,2019.0,13000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,Sedan,5.0
260000000.0,Nissan,Sunny,2014.0,5000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,Sedan,5.0
500000000.0,Mitsubishi,Xpander,2020.0,28000.0,Đã sử dụng,Tự động,Xăng,Nước khác,MPV,7.0
899000000.0,Toyota,Camry,2022.0,25000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,Sedan,5.0
960000000.0,Hyundai,Santa Fe,2023.0,0.0,Mới,Tự động,Dầu,Việt Nam,SUV,7.0
355000000.0,Ford,Ranger,2014.0,16000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,Pick up,5.0
475000000.0,Ford,Ranger,2017.0,65000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,Pick up,5.0
