Price,CarBrand,CarModel,MfgDate,Mileage,Condition,GearBox,Fuel,CarOrigin,CarType,CarSeats
940000000.0,Vinfast,VF8,2023.0,0.0,Mới,Tự động,Điện,Việt Nam,SUV,5.0
999000000.0,Hyundai,Santa Fe,2021.0,20000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,7.0
1058000000.0,Hyundai,Santa Fe,2021.0,24000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,SUV,7.0
460000000.0,Mazda,3,2018.0,44658.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
415000000.0,Lexus,GS,2007.0,135000.0,Đã sử dụng,Tự động,Xăng,Mỹ,Sedan,4.0
430000000.0,Mitsubishi,Xpander,2019.0,70000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,MPV,5.0
999000000.0,Toyota,Fortuner,2022.0,37000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,9.0
195000000.0,Mercedes Benz,Sprinter,2007.0,555555.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,Van,7.0
838000000.0,Ford,Everest,2018.0,60000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,SUV,5.0
535000000.0,Ford,Transit,2017.0,200000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,SUV,16.0
215000000.0,Hyundai,Grand i10,2017.0,123456.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5.0
849000000.0,Ford,Transit,2023.0,0.0,Mới,Số sàn,Dầu,Việt Nam,MPV,16.0
305000000.0,Honda,Civic,2011.0,70000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
210000000.0,Isuzu,Pick up,2010.0,170640.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,Pick up,5.0
1150000000.0,Mercedes Benz,C Class,2020.0,28000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
170000000.0,Ford,Territory,2023.0,0.0,Mới,Tự động,Xăng,Việt Nam,SUV,5.0
960000000.0,Mazda,CX 8,2022.0,31000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,9.0
640000000.0,Vinfast,Lux A2.0,2022.0,21000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,2.0
680000000.0,Mitsubishi,Outlander,2020.0,80000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,7.0
585000000.0,Ford,Transit,2019.0,63000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,Van,7.0
986000000.0,Ford,Ranger,2023.0,0.0,Mới,Tự động,Dầu,Việt Nam,Pick up,5.0
475000000.0,Toyota,Innova,2018.0,92000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,SUV,5.0
860000000.0,Toyota,Corolla Cross,2022.0,12345.0,Đã sử dụng,Tự động,Xăng,Thái Lan,SUV,5.0
500000000.0,Honda,City,2023.0,1100.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
420000000.0,Mazda,6,2015.0,75000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
298000000.0,Toyota,Camry,2007.0,93000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
255000000.0,Toyota,Yaris,2008.0,80000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,Sedan,5.0
365000000.0,Toyota,Vios,2020.0,74000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5.0
265000000.0,Toyota,Innova,2008.0,130000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,MPV,8.0
678000000.0,Toyota,Yaris,2023.0,0.0,Mới,Tự động,Xăng,Nước khác,SUV,5.0
770000000.0,Ford,Ranger,2023.0,0.0,Mới,Tự động,Xăng,Việt Nam,SUV,5.0
620000000.0,Mitsubishi,Xpander,2022.0,37000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,MPV,9.0
585000000.0,Kia,Sedona,2016.0,103000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,MPV,7.0
